prNumber,prTitle,repo,eip,proposed_status
6777,Update EIP-5219: Move to Final,EIPs,5219,Final
6775,Update EIP-6617: Move to Review,EIPs,6617,Review
6771,Update EIP-5169: Move to Draft,EIPs,5169,Draft
6770,Update EIP-6366: Move to Review,EIPs,6366,Review
6756,Update EIP-5006: Move to Final,EIPs,5006,Final
6754,Update EIP-5008: Move to Review,EIPs,5008,Review
6742,Update EIP-5380: Move to Final,EIPs,5380,Final
6740,Update EIP-6105: Move to Last Call,EIPs,6105,Last Call
6707,Update EIP-4824: Move to Stagnant,EIPs,4824,Stagnant
6703,Update EIP-5570: Move to Last Call,EIPs,5570,Last Call
6701,Update EIP-1046: Move to Final,EIPs,1046,Final
6700,Update EIP-747: Move to Final,EIPs,747,Final
6699,Update EIP-2255: Move to Final,EIPs,2255,Final
6675,Update EIP-5252: Move to review,EIPs,5252,Review
6668,Update EIP-6492: move to Review,EIPs,6492,Review
6666,Update EIP-4736: Move to Last call,EIPs,4736,Last Call
6652,Update EIP-5639: Move to Review,EIPs,5639,Review
6624,Update eip-6105: Move to Review,EIPs,6105,Review
6623,Update EIP-6147: Move to Final,EIPs,6147,Final
6621,Update EIP-4950: Move to Draft,EIPs,4950,Draft
6620,Update EIP-4944: Move to Draft,EIPs,4944,Draft
6599,Update EIP-4804: Move to final,EIPs,4804,Final
6593,Update EIP-6066: Move to Review,EIPs,6066,Review
6592,Update EIP-6357: Move to Review,EIPs,6357,Review
6581,Update EIP-1046: Move to Last Call,EIPs,1046,Last Call
6561,Update EIP-6315: Move to Review,EIPs,6315,Review
6560,Update EIP-5219: Move to Last Call,EIPs,5219,Last Call
6558,Update EIP-2255: Move to Last Call,EIPs,2255,Last Call
6557,Update EIP-747: Move to Last Call,EIPs,747,Last Call
6556,Update EIP-5507: Move to Last Call,EIPs,5507,Last Call
6554,Update EIP-5380: Move to Last Call,EIPs,5380,Last Call
6548,Update EIP-5749: Move to Final,EIPs,5749,Final
6521,Update EIP-3770: Move to Review,EIPs,3770,Review
6491,Update EIP-3091: Move to Draft,EIPs,3091,Draft
6484,Update EIP-5805: Refer to EIP-6372 for clock and move to Review,EIPs,5805,Review
6481,Update EIP-5267: Move to Final status,EIPs,5267,Final Status
6463,Update EIP-5585: Remove staking functions and move to Review,EIPs,5585,Review
6461,Update EIP-6150: Move to Final,EIPs,6150,Final
6458,Update EIP-2015: Move to Review,EIPs,2015,Review
6457,Update EIP-3085: Move to Review,EIPs,3085,Review
6456,Update EIP-4938: Move to Review,EIPs,4938,Review
6452,Update EIP-6147: Move to Review,EIPs,6147,Review
6449,Update EIP-4361: Move to Review,EIPs,4361,Review
6447,Update EIP-4736: Move to Review,EIPs,4736,Review
6443,Update EIP-5018: Move to Review,EIPs,5018,Review
6411,Update EIP-4804: Move to Last Call,EIPs,4804,Last Call
6400,"Update EIP-6372: Move to Review and specify CLOCK_NUMBER with ""MUST"" behavior",EIPs,6372,Review And Specify Clock_Number With
6395,Update EIP-5625: Move to Review,EIPs,5625,Review
6376,Update EIP-6190: Move to Review,EIPs,6190,Review
6375,Update EIP-6189: Move to Review,EIPs,6189,Review
6374,Update EIP-6188: Move to Review,EIPs,6188,Review
6373,Update EIP-5289: Move to Review,EIPs,5289,Review
6365,Update EIP-5646: Move to Final,EIPs,5646,Final
6363,Update EIP-4834: Move to Final,EIPs,4834,Final
6362,Update EIP-2771: Move to Final,EIPs,2771,Final
6351,Update EIP-6188: Move to Review,EIPs,6188,Review
6343,Update EIP-5298: Move to Review,EIPs,5298,Review
6342,Update EIP-5604: Move to Review,EIPs,5604,Review
6341,Update EIP-5437: Move to Review,EIPs,5437,Review
6340,Update EIP-5982: Move to Review,EIPs,5982,Review
6339,Update EIP-5453: Move to Review,EIPs,5453,Review
6338,Update EIP-2135: Move to Last Call,EIPs,2135,Last Call
6334,Update EIP-4974: Move to Review,EIPs,4974,Review
6329,Update EIP-4955: Move to Last Call,EIPs,4955,Last Call
6326,Update EIP-5269: Move to Review,EIPs,5269,Review
6324,Update EIP-3326: Move to draft,EIPs,3326,Draft
6323,Update EIP-3085: Move to draft,EIPs,3085,Draft
6322,Update EIP-3091: Move to draft,EIPs,3091,Draft
6311,Update EIP-6150: Move to Last Call,EIPs,6150,Last Call
6309,Update EIP-1898: Move to Review,EIPs,1898,Review
6304,Update EIP-4736: Move to Draft,EIPs,4736,Draft
6303,Update EIP-5570: Move to review,EIPs,5570,Review
6300,Update EIP-5267: Move to Last Call,EIPs,5267,Last Call
6295,Update EIP-5920: Move to Review,EIPs,5920,Review
6287,Update EIP-4834: Move to Last Call,EIPs,4834,Last Call
6286,Update EIP-5507: Move to review,EIPs,5507,Review
6264,Update EIP-2771: Move to Last Call,EIPs,2771,Last Call
6221,Update EIP-6059: Move to Review,EIPs,6059,Review
6219,Update EIP-6150: Move to Review,EIPs,6150,Review
6217,Update EIP-5380: Move to Review,EIPs,5380,Review
6187,Update EIP-5380: Move to Review,EIPs,5380,Review
6186,Update EIP-5507: Move to review,EIPs,5507,Review
6185,Update EIP-5615: Move to Last Call,EIPs,5615,Last Call
6180,Update EIP-5219: Move to review,EIPs,5219,Review
6177,Update EIP-5568: Move to review,EIPs,5568,Review
6174,Update EIP-6049: Move to final,EIPs,6049,Final
6153,Update EIP-5023: Move to last call,EIPs,5023,Last Call
6151,Update EIP-5606: Move to Last Call,EIPs,5606,Last Call
6124,Update EIP-4519: Move to Final,EIPs,4519,Final
6097,Update EIP-5646: Move to Last Call,EIPs,5646,Last Call
6085,Update EIP-6049: Move to Last Call,EIPs,6049,Last Call
6076,Update EIP-4519: Move to Final,EIPs,4519,Final
6074,Update EIP-6049: Move to review,EIPs,6049,Review
6062,Update EIP-5489: Move to final,EIPs,5489,Final
6057,Update EIP-1153: Move to last call,EIPs,1153,Last Call
6050,Update EIP-4527: Move to review,EIPs,4527,Review
6033,Update EIP-5757: Move to final,EIPs,5757,Final
6018,Update EIP-5749: Move to last call,EIPs,5749,Last Call
6015,Update EIP-2481: Move to final,EIPs,2481,Final
6014,EIP-4938: Move to back to draft,EIPs,4938,Back To Draft
6013,Update EIP-4527: Move to draft,EIPs,4527,Draft
5995,Update EIP-5489: Move to Last Call,EIPs,5489,Last Call
5991,"Update EIP-5023: Move to Review, minor corrections to interface",EIPs,5023,Review
5980,Update EIP-1898: Move to draft,EIPs,1898,Draft
5978,Update EIP-5202: Move to review,EIPs,5202,Review
5934,Update EIP-5298: Move to Review,EIPs,5298,Review
5919,Update EIP-5732: Move to Final,EIPs,5732,Final
5912,Update EIP-5749: Move to Review,EIPs,5749,Review
5908,Update EIP-4519: Move to last call,EIPs,4519,Last Call
5900,Update EIP-5528: Move to Final,EIPs,5528,Final
5899,Update EIP-5679: Move to Final,EIPs,5679,Final
5897,Updated EIP-5375: Move to Final,EIPs,5375,Final
5881,Update EIP-5484: Move to Final,EIPs,5484,Final
5872,Update EIP-1753: Move to draft,EIPs,1753,Draft
5870,EIP-5757: Move to last call,EIPs,5757,Last Call
5861,Update EIP-5750: Move to Last Call,EIPs,5750,Last Call
5855,Update EIP-4519: Move to Last Call,EIPs,4519,Last Call
5841,Update EIP-5528: Move to Last Call,EIPs,5528,Last Call
5839,Update EIP-5216: Move to Last Call,EIPs,5216,Last Call
5829,Update EIP-4955: Move to review,EIPs,4955,Review
5813,Update EIP-5375: Clarify address casing and move to Last Call,EIPs,5375,Last Call
5809,Update EIP-5484: Move to Last Call,EIPs,5484,Last Call
5808,Update EIP-5164: Move to review,EIPs,5164,Review
5790,Update EIP-5528: Move to final,EIPs,5528,Final
5785,Update EIP-5750: Move to Review,EIPs,5750,Review
5782,Update EIP-2612: Move to Final,EIPs,2612,Final
5778,Update EIP-5615: Move to Review,EIPs,5615,Review
5763,Update EIP-2294: Move to Review,EIPs,2294,Review
5761,Update EIP-2135: Move to Last Call,EIPs,2135,Last Call
5759,Update EIP-5679: Move to Last Call,EIPs,5679,Last Call
5758,Update EIP-5732: Move to Last Call,EIPs,5732,Last Call
5736,Update EIP-5489: Move to review,EIPs,5489,Review
5734,Update EIP-5643: Move to Review,EIPs,5643,Review
5693,Update EIP-2135: Move to Review,EIPs,2135,Review
5692,Update EIP-5679: Move to Review,EIPs,5679,Review
5688,Update EIP-5646: Move to review,EIPs,5646,Review
5670,Update EIP-5528: Move to Last Call,EIPs,5528,Last Call
5661,EIP-4399: move to Final,EIPs,4399,Final
5660,EIP-3675: move to Final,EIPs,3675,Final
5654,Update EIP-5192: Move to Final,EIPs,5192,Final
5613,Update EIP-5553: Move to Review,EIPs,5553,Review
5612,Update EIP-5496: Move to review,EIPs,5496,Review
5609,Update EIP-5528: Move to Review,EIPs,5528,Review
5605,Update EIP-5484: Move to Review,EIPs,5484,Review
5591,Update EIP-3525: Move to final,EIPs,3525,Final
5571,Update EIP-5216: Move to Review,EIPs,5216,Review
5549,Update EIP-5192: Move to Last Call,EIPs,5192,Last Call
5506,Update EIP-2612: Move to Last Call,EIPs,2612,Last Call
5295,Update EIP-4834: Move to Last Call,EIPs,4834,Last Call
5221,Update EIP-4834: Move to Review,EIPs,4834,Review
5196,Update EIP-2612: Move to Last Call,EIPs,2612,Last Call
4837,EIP-4399: Move to Review,EIPs,4399,Review
4830,EIP-4803: Move to review,EIPs,4803,Review
4765,EIP-3675: Move to Review,EIPs,3675,Review
3975,Update EIP-2982: Move to Final,EIPs,2982,Final
3624,Updated EIP-2098 w/ suggestions and move to Review,EIPs,2098,Review
3459,EIP-3074: Move to strict AUTHCALL rules,EIPs,3074,Strict Authcall Rules
3457,eip2929 and eip2930: move to last call,EIPs,2929,Last Call
3385,[EIP-3074] Move to AUTHCALL version,EIPs,3074,Authcall Version
3369,EIP-681: move to Last Call,EIPs,681,Last Call
3256,EIP-681: move to Final,EIPs,681,Final
3139,EIP-2681: move to last call,EIPs,2681,Last Call
1994,EIP-1344: Move to Final after Last Call Review,EIPs,1344,Final After Last Call Review
1944,EIP-1344: Move to Last Call,EIPs,1344,Last Call
1460,EIP-627: move to Networking category,EIPs,627,Networking Category
8880,Update EIP-6493: Move to Draft,EIPs,6493,Draft
8879,Update EIP-6404: Move to Draft,EIPs,6404,Draft
8878,Update EIP-6466: Move to Draft,EIPs,6466,Draft
8877,Update EIP-6465: Move to Draft,EIPs,6465,Draft
8912,Update EIP-7762: Move to Review,EIPs,7762,Review
8970,Update EIP-6913: Move to Withdrawn,EIPs,6913,Withdrawn
9021,Update EIP-7610: Move to Last Call,EIPs,7610,Last Call
9019,Update EIP-7587: Move to Final,EIPs,7587,Final
9033,Update EIP-6888: Move to Draft,EIPs,6888,Draft
9063,Update EIP-4803: Move to Review,EIPs,4803,Review
9061,Update EIP-6690: Move to Draft,EIPs,6690,Draft
9078,Update EIP-3670: Move to Review,EIPs,3670,Review
9062,Update EIP-7762: Move to Draft,EIPs,7762,Draft
9108,Update EIP-7784: Move to Review,EIPs,7784,Review
9132,Update EIP-6916: Move to Last Call,EIPs,6916,Last Call
9114,Update EIP-7709: Move to Stagnant,EIPs,7709,Stagnant
9093,Update EIP-7542: Move to Withdrawn,EIPs,7542,Withdrawn
9095,Update EIP-7691: Move to Review,EIPs,7691,Review
9080,Update EIP-7503: Move to Draft,EIPs,7503,Draft
9167,Update EIP-7808: Move to Review,EIPs,7808,Review
9172,Update EIP-7709: Move to Stagnant,EIPs,7709,Stagnant
9139,Update EIP-7591: Move to Stagnant,EIPs,7591,Stagnant
9173,Update EIP-7716: Move to Stagnant,EIPs,7716,Stagnant
9170,Update EIP-7594: Move to Stagnant,EIPs,7594,Stagnant
9239,Update EIP-7549: Move to Review,EIPs,7549,Review
9235,Update EIP-7519: Move to Draft,EIPs,7519,Draft
9223,Update EIP-7840: Move to Review,EIPs,7840,Review
9199,Update EIP-101: Move to Draft,EIPs,101,Draft
9266,Update EIP-1898: Move to Review,EIPs,1898,Review
9265,Update EIP-7830: Move to Review,EIPs,7830,Review
9272,Update EIP-7823: Move to Review,EIPs,7823,Review
9338,Update EIP-7702: Move to Last Call,EIPs,7702,Last Call
9336,Update EIP-2935: Move to Last Call,EIPs,2935,Last Call
9360,Update EIP-7691: Move to Last Call,EIPs,7691,Last Call
9359,Update EIP-7623: Move to Last Call,EIPs,7623,Last Call
9339,Update EIP-7840: Move to Last Call,EIPs,7840,Last Call
9337,Update EIP-7691: Move to Last Call,EIPs,7691,Last Call
9335,Update EIP-2537: Move to Last Call,EIPs,2537,Last Call
9334,Update EIP-7723: Move to Last Call,EIPs,7723,Last Call
9330,Update EIP-3300: Move to Draft,EIPs,3300,Draft
9329,Update EIP-7251: Move to Last Call,EIPs,7251,Last Call
9328,Update EIP-7002: Move to Last Call,EIPs,7002,Last Call
9327,Update EIP-7685: Move to Last Call,EIPs,7685,Last Call
9326,Update EIP-6110: Move to Last Call,EIPs,6110,Last Call
9333,Update EIP-7600: Move to Last Call,EIPs,7600,Last Call
9317,Update EIP-7549: Move to Last Call,EIPs,7549,Last Call
9370,Update EIP-1898: Move to Last Call,EIPs,1898,Last Call
9154,Update EIP-7675: Move to Withdrawn,EIPs,7675,Withdrawn
9400,Update EIP-3155: Move to Last Call,EIPs,3155,Last Call
9385,Update EIP-3540: Move to Review,EIPs,3540,Review
9389,Update EIP-5920: Move to Draft,EIPs,5920,Draft
9412,Update EIP-7620: Move to Review,EIPs,7620,Review
9397,Update EIP-3155: Move to Stagnant,EIPs,3155,Stagnant
9458,Update EIP-4750: Move to Review,EIPs,4750,Review
9386,Update EIP-4750: Move to Review,EIPs,4750,Review
9527,Update EIP-663: Move to Review,EIPs,663,Review
9507,Update EIP-7870: Move to Review,EIPs,7870,Review
9587,Update EIP-7594: Move to Review,EIPs,7594,Review
9613,Update EIP-7880: Move to Review,EIPs,7880,Review
9612,Update EIP-7873: Move to Review,EIPs,7873,Review
9610,Update EIP-7761: Move to Review,EIPs,7761,Review
9609,Update EIP-7834: Move to Review,EIPs,7834,Review
9566,Update EIP-7872: Move to Review,EIPs,7872,Review
9554,Update EIP-7918: Move to Review,EIPs,7918,Review
9472,Update EIP-1898: Move to Final,EIPs,1898,Final
9237,Update EIP-7642: Move to Draft,EIPs,7642,Draft
9511,Update EIP-7708: Move to Stagnant,EIPs,7708,Stagnant
9611,Update EIP-5920: Move to Review,EIPs,5920,Review
9641,Update EIP-7642: Move to Review,EIPs,7642,Review
9626,Update EIP-7600: Move to Last Call,EIPs,7600,Last Call
9446,Update EIP-3540: Move to Review,EIPs,3540,Review
9663,Update EIP-5792: Move to Last Call,EIPs,5792,Last Call
9685,Update EIP-6916: Move to Final,EIPs,6916,Final
9741,Update EIP-2537: Move to Final,EIPs,2537,Final
9738,Update EIP-5792: Move to Final,EIPs,5792,Final
9743,Update EIP-2537: Move to Final,EIPs,2537,Final
9384,Update EIP-5920: Move to Draft,EIPs,5920,Draft
9771,Update EIP-3074: Move to Withdrawn,EIPs,3074,Withdrawn
9754,Update EIP-7840: Move to Final,EIPs,7840,Final
9752,Update EIP-7691: Move to Final,EIPs,7691,Final
9751,Update EIP-7685: Move to Final,EIPs,7685,Final
9750,Update EIP-7623: Move to Final,EIPs,7623,Final
9749,Update EIP-7549: Move to Final,EIPs,7549,Final
9748,Update EIP-7251: Move to Final,EIPs,7251,Final
9747,Update EIP-7002: Move to Final,EIPs,7002,Final
9746,Update EIP-6110: Move to Final,EIPs,6110,Final
9742,Update EIP-2935: Move to Final,EIPs,2935,Final
9790,Update EIP-7932: Move to Review,EIPs,7932,Review
9837,Update EIP-7788: Move to Withdrawn,EIPs,7788,Withdrawn
9799,Update EIP-7782: Move to Draft,EIPs,7782,Draft
9753,Update EIP-7702: Move to Final,EIPs,7702,Final
9857,Update EIP-7642: Move to Final,EIPs,7642,Final
9853,Update EIP-7932: Move to Review,EIPs,7932,Review
9836,Update EIP-7843: Move to Review,EIPs,7843,Review
9802,Update EIP-7778: Move to Draft,EIPs,7778,Draft
9774,Update EIP-7773: Move to Draft,EIPs,7773,Draft
9740,Update EIP-7600: Move to Final,EIPs,7600,Final
9856,Update EIP-7773: Move to Draft,EIPs,7773,Draft
9882,Update EIP-7950: Move to Review,EIPs,7950,Review
9870,Update EIP-7825: Move to Stagnant,EIPs,7825,Stagnant
9594,Update EIP-867: Move to Draft,EIPs,867,Draft
9538,Update EIP-7668: Move to Draft,EIPs,7668,Draft
18,Update EIP-7092: Move to Review,ERCs,7092,Review
17,Update EIP-7092: Move to Review,ERCs,7092,Review
15,Update EIP-7092: Move to Review,ERCs,7092,Review
11,Update EIP-7528: Move to Review,ERCs,7528,Review
7,Update EIP-6357: Move to Last Call,ERCs,6357,Last Call
